work_year,experience_yr,experience_level,employment_type,job_title,job_title_nm,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,3,SE,FT,Data Scientist,1,36000,EUR,38726,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,195000,USD,195000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,170000,USD,170000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,135000,USD,135000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,145000,USD,145000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,199000,USD,199000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,162000,USD,162000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,100000,USD,100000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,245000,USD,245000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,180000,USD,180000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,210000,USD,210000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,155000,USD,155000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,165000,USD,165000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,140000,USD,140000,US,0,US,M
2023,1,EN,FT,Data Scientist,1,70000,CAD,51800,CA,100,CA,L
2023,1,EN,FT,Data Scientist,1,130001,USD,130001,US,100,US,M
2023,1,EN,FT,Data Scientist,1,71907,USD,71907,US,100,US,M
2023,2,MI,FT,Data Scientist,1,93918,USD,93918,US,100,US,M
2023,2,MI,FT,Data Scientist,1,51962,USD,51962,US,100,US,M
2023,3,SE,FT,Data Scientist,1,203000,USD,203000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,133200,USD,133200,US,100,US,M
2023,3,SE,FT,Data Scientist,1,185900,USD,185900,US,0,US,M
2023,3,SE,FT,Data Scientist,1,129300,USD,129300,US,0,US,M
2023,3,SE,FT,Data Scientist,1,238000,USD,238000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,156000,USD,156000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,140000,USD,140000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,110000,USD,110000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,157750,USD,157750,US,100,US,M
2023,3,SE,FT,Data Scientist,1,104650,USD,104650,US,100,US,M
2023,2,MI,FT,Data Scientist,1,180000,USD,180000,US,100,US,M
2023,2,MI,FT,Data Scientist,1,140000,USD,140000,US,100,US,M
2023,4,EX,FT,Data Scientist,1,200000,USD,200000,US,0,US,M
2023,4,EX,FT,Data Scientist,1,145000,USD,145000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,45000,EUR,48408,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,36000,EUR,38726,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,252000,USD,252000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,154000,USD,154000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,191765,USD,191765,US,0,US,M
2023,3,SE,FT,Data Scientist,1,134236,USD,134236,US,0,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,145000,USD,145000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,237000,USD,237000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,145000,USD,145000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,200000,USD,200000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,170000,USD,170000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,171250,USD,171250,IE,0,IE,M
2023,3,SE,FT,Data Scientist,1,113750,USD,113750,IE,0,IE,M
2023,3,SE,FT,Data Scientist,1,258000,USD,258000,CA,0,CA,M
2023,3,SE,FT,Data Scientist,1,190000,USD,190000,CA,0,CA,M
2023,3,SE,FT,Data Scientist,1,170000,USD,170000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,135000,USD,135000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,195000,USD,195000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,297300,USD,297300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,198200,USD,198200,US,100,US,M
2023,3,SE,FT,Data Scientist,1,200000,USD,200000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,170000,USD,170000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,317070,USD,317070,US,0,US,M
2023,3,SE,FT,Data Scientist,1,170730,USD,170730,US,0,US,M
2023,3,SE,FT,Data Scientist,1,225000,USD,225000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,275300,USD,275300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,183000,USD,183000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,185900,USD,185900,US,0,US,M
2023,3,SE,FT,Data Scientist,1,129300,USD,129300,US,0,US,M
2023,3,SE,FT,Data Scientist,1,173000,USD,173000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,132000,USD,132000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,275300,USD,275300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,183500,USD,183500,US,100,US,M
2023,4,EX,FT,Data Scientist,1,145000,USD,145000,US,0,US,M
2023,4,EX,FT,Data Scientist,1,100000,USD,100000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,90000,EUR,96817,IE,0,IE,M
2023,2,MI,FT,Data Scientist,1,75000,EUR,80680,IE,0,IE,M
2023,3,SE,FT,Data Scientist,1,275300,USD,275300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,183500,USD,183500,US,100,US,M
2023,2,MI,FT,Data Scientist,1,65000,GBP,79225,GB,0,GB,M
2023,2,MI,FT,Data Scientist,1,42000,GBP,51192,GB,0,GB,M
2023,1,EN,FT,Data Scientist,1,190000,USD,190000,US,0,US,M
2023,1,EN,FT,Data Scientist,1,120000,USD,120000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,70000,GBP,85320,GB,0,GB,M
2023,2,MI,FT,Data Scientist,1,42000,GBP,51192,GB,0,GB,M
2023,2,MI,FT,Data Scientist,1,90000,GBP,109697,GB,0,GB,M
2023,2,MI,FT,Data Scientist,1,60000,GBP,73131,GB,0,GB,M
2023,1,EN,FT,Data Scientist,1,112000,CHF,121488,CH,50,CH,L
2022,2,MI,FT,Data Scientist,1,70000,EUR,73546,DE,100,DE,M
2023,2,MI,FT,Data Scientist,1,56000,EUR,60241,AT,100,DE,M
2023,3,SE,FT,Data Scientist,1,201036,USD,201036,US,0,US,M
2023,3,SE,FT,Data Scientist,1,134024,USD,134024,US,0,US,M
2023,3,SE,FT,Data Scientist,1,172000,USD,172000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,115000,USD,115000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,237000,USD,237000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,145000,USD,145000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,258000,USD,258000,CA,0,CA,M
2023,3,SE,FT,Data Scientist,1,190000,USD,190000,CA,0,CA,M
2023,3,SE,FT,Data Scientist,1,239748,USD,239748,US,0,US,M
2023,3,SE,FT,Data Scientist,1,159832,USD,159832,US,0,US,M
2023,3,SE,FT,Data Scientist,1,186300,USD,186300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,102500,USD,102500,US,100,US,M
2023,3,SE,FT,Data Scientist,1,190000,USD,190000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,126000,USD,126000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,120000,USD,120000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,145000,USD,145000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,100000,USD,100000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,210000,USD,210000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,145000,USD,145000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,100000,USD,100000,US,0,US,M
2023,4,EX,FT,Data Scientist,1,200000,USD,200000,US,0,US,M
2023,4,EX,FT,Data Scientist,1,145000,USD,145000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,205000,USD,205000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,140000,USD,140000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,297300,USD,297300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,198200,USD,198200,US,100,US,M
2023,2,MI,FT,Data Scientist,1,1400000,INR,17029,IN,100,IN,L
2023,3,SE,FT,Data Scientist,1,105000,USD,105000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,70000,USD,70000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,55000,EUR,59166,ES,0,ES,M
2023,2,MI,FT,Data Scientist,1,45000,EUR,48408,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,239748,USD,239748,US,0,US,M
2023,3,SE,FT,Data Scientist,1,159832,USD,159832,US,0,US,M
2023,2,MI,FT,Data Scientist,1,128750,USD,128750,US,0,US,M
2023,2,MI,FT,Data Scientist,1,106250,USD,106250,US,0,US,M
2023,3,SE,FT,Data Scientist,1,210550,USD,210550,US,0,US,M
2023,3,SE,FT,Data Scientist,1,153300,USD,153300,US,0,US,M
2023,2,MI,FT,Data Scientist,1,200000,USD,200000,US,100,US,M
2023,2,MI,FT,Data Scientist,1,150000,USD,150000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,148750,USD,148750,US,0,US,M
2023,3,SE,FT,Data Scientist,1,186300,USD,186300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,123900,USD,123900,US,100,US,M
2023,2,MI,FT,Data Scientist,1,60000,EUR,64544,FR,50,FR,M
2023,3,SE,FT,Data Scientist,1,149076,USD,149076,US,0,US,M
2023,3,SE,FT,Data Scientist,1,82365,USD,82365,US,0,US,M
2023,2,MI,FT,Data Scientist,1,150000,USD,150000,US,100,US,M
2023,2,MI,FT,Data Scientist,1,97750,USD,97750,US,100,US,M
2023,3,SE,FT,Data Scientist,1,201000,USD,201000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,122000,USD,122000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,116990,USD,116990,US,100,US,M
2023,2,MI,FT,Data Scientist,1,82920,USD,82920,US,100,US,M
2023,3,SE,FT,Data Scientist,1,185900,USD,185900,US,0,US,M
2023,3,SE,FT,Data Scientist,1,129300,USD,129300,US,0,US,M
2023,3,SE,FT,Data Scientist,1,201000,USD,201000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,122000,USD,122000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,190000,USD,190000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,136000,USD,136000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,275300,USD,275300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,183000,USD,183000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,225000,USD,225000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,156400,USD,156400,US,0,US,M
2023,3,SE,FT,Data Scientist,1,260000,USD,260000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,186000,USD,186000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,45000,EUR,48408,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,36000,EUR,38726,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,150000,USD,150000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,120000,USD,120000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,40000,USD,40000,FR,50,FR,L
2023,3,SE,FT,Data Scientist,1,136000,USD,136000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,104000,USD,104000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,185900,USD,185900,US,0,US,M
2023,3,SE,FT,Data Scientist,1,129300,USD,129300,US,0,US,M
2023,3,SE,FT,Data Scientist,1,149076,USD,149076,US,0,US,M
2023,3,SE,FT,Data Scientist,1,82365,USD,82365,US,0,US,M
2022,1,EN,FT,Data Scientist,1,168000,USD,168000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,147100,USD,147100,US,0,US,M
2023,3,SE,FT,Data Scientist,1,90700,USD,90700,US,0,US,M
2023,3,SE,FT,Data Scientist,1,300240,USD,300240,US,0,US,M
2023,3,SE,FT,Data Scientist,1,200160,USD,200160,US,0,US,M
2023,3,SE,FT,Data Scientist,1,300240,USD,300240,US,0,US,M
2023,3,SE,FT,Data Scientist,1,200160,USD,200160,US,0,US,M
2023,3,SE,FT,Data Scientist,1,370000,USD,370000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,245000,USD,245000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,126500,USD,126500,US,0,US,M
2023,3,SE,FT,Data Scientist,1,78000,USD,78000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,155000,USD,155000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,139500,USD,139500,US,0,US,M
2023,1,EN,FT,Data Scientist,1,101400,BRL,19616,BR,100,BR,L
2023,3,SE,FT,Data Scientist,1,225000,USD,225000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,156400,USD,156400,US,0,US,M
2023,3,SE,FT,Data Scientist,1,185900,USD,185900,US,0,US,M
2023,3,SE,FT,Data Scientist,1,129300,USD,129300,US,0,US,M
2023,3,SE,FT,Data Scientist,1,215050,USD,215050,US,100,US,M
2023,3,SE,FT,Data Scientist,1,156400,USD,156400,US,100,US,M
2023,3,SE,FT,Data Scientist,1,209300,USD,209300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,182200,USD,182200,US,100,US,M
2022,1,EN,FT,Data Scientist,1,85000,USD,85000,US,0,US,M
2023,1,EN,FT,Data Scientist,1,800000,INR,9730,IN,0,IN,L
2023,2,MI,FT,Data Scientist,1,170000,USD,170000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,120000,USD,120000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,145000,USD,145000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,135000,USD,135000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,170000,USD,170000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,90000,USD,90000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,149076,USD,149076,US,0,US,M
2023,3,SE,FT,Data Scientist,1,82365,USD,82365,US,0,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,148750,USD,148750,US,0,US,M
2023,3,SE,FT,Data Scientist,1,235000,USD,235000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,185000,USD,185000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,216100,USD,216100,US,0,US,M
2023,3,SE,FT,Data Scientist,1,140800,USD,140800,US,0,US,M
2023,1,EN,FT,Data Scientist,1,110000,USD,110000,US,50,US,S
2023,2,MI,FT,Data Scientist,1,151410,USD,151410,US,100,US,M
2023,2,MI,FT,Data Scientist,1,115360,USD,115360,US,100,US,M
2023,1,EN,FT,Data Scientist,1,1050000,INR,12771,IN,50,IN,L
2023,3,SE,FT,Data Scientist,1,250000,USD,250000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,162500,USD,162500,US,0,US,M
2023,3,SE,FT,Data Scientist,1,185000,USD,185000,GB,0,GB,M
2023,3,SE,FT,Data Scientist,1,120250,USD,120250,GB,0,GB,M
2022,1,EN,FT,Data Scientist,1,180000,USD,180000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,225000,USD,225000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,156400,USD,156400,US,100,US,M
2023,3,SE,FT,Data Scientist,1,225000,USD,225000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,156400,USD,156400,US,0,US,M
2023,3,SE,FT,Data Scientist,1,165000,USD,165000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,144000,USD,144000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,105000,USD,105000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,70000,USD,70000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,183000,USD,183000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,134000,USD,134000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,225000,USD,225000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,156400,USD,156400,US,100,US,M
2023,3,SE,FT,Data Scientist,1,228000,USD,228000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,152000,USD,152000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,209450,USD,209450,US,100,US,M
2023,3,SE,FT,Data Scientist,1,158677,USD,158677,US,100,US,M
2022,2,MI,FT,Data Scientist,1,155000,USD,155000,US,100,US,L
2023,3,SE,FT,Data Scientist,1,59000,EUR,63469,CY,50,EE,L
2023,3,SE,FT,Data Scientist,1,237000,USD,237000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,145000,USD,145000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,240000,USD,240000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,139000,USD,139000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,285800,USD,285800,US,100,US,M
